HGT_ID,LLD_9002000001395260
HGT_seq_290,00
HGT_seq_291,00
HGT_seq_292,00
HGT_seq_293,00
HGT_seq_294,00
HGT_seq_295,00
HGT_seq_296,00
HGT_seq_297,00
HGT_seq_298,00
HGT_seq_299,00
HGT_seq_300,00
HGT_seq_301,00
HGT_seq_302,00
HGT_seq_303,00
HGT_seq_304,00
HGT_seq_305,00
HGT_seq_306,00
HGT_seq_307,00
HGT_seq_308,00
HGT_seq_309,00
HGT_seq_310,00
HGT_seq_311,00
HGT_seq_312,00
HGT_seq_313,00
HGT_seq_314,00
HGT_seq_315,00
HGT_seq_316,00
HGT_seq_317,00
HGT_seq_318,00
HGT_seq_319,00
HGT_seq_320,00
HGT_seq_321,00
HGT_seq_322,00
HGT_seq_323,00
HGT_seq_324,00
HGT_seq_325,00
HGT_seq_326,00
HGT_seq_327,00
HGT_seq_328,00
HGT_seq_329,00
HGT_seq_330,00
HGT_seq_331,00
HGT_seq_332,00
HGT_seq_333,00
HGT_seq_334,00
HGT_seq_335,00
HGT_seq_336,00
HGT_seq_337,00
HGT_seq_338,00
HGT_seq_339,00
HGT_seq_340,00
HGT_seq_341,00
HGT_seq_342,00
HGT_seq_343,00
HGT_seq_344,00
HGT_seq_345,00
HGT_seq_346,00
HGT_seq_347,00
HGT_seq_348,00
HGT_seq_349,00
HGT_seq_350,00
HGT_seq_351,00
HGT_seq_352,00
HGT_seq_353,00
HGT_seq_354,00
HGT_seq_355,00
HGT_seq_356,00
HGT_seq_357,00
HGT_seq_358,00
HGT_seq_359,00
HGT_seq_360,00
HGT_seq_361,00
HGT_seq_362,00
HGT_seq_363,00
HGT_seq_364,00
HGT_seq_365,00
HGT_seq_366,00
HGT_seq_367,00
HGT_seq_368,00
HGT_seq_369,00
HGT_seq_370,00
HGT_seq_371,00
HGT_seq_372,00
HGT_seq_373,00
HGT_seq_374,00
HGT_seq_375,00
HGT_seq_376,00
HGT_seq_377,00
HGT_seq_378,00
HGT_seq_379,00
HGT_seq_380,00
HGT_seq_381,00
HGT_seq_382,00
HGT_seq_383,00
HGT_seq_384,00
HGT_seq_385,00
HGT_seq_386,00
HGT_seq_387,00
HGT_seq_388,00
HGT_seq_389,00
HGT_seq_390,00
HGT_seq_391,00
HGT_seq_392,00
HGT_seq_393,00
HGT_seq_394,00
HGT_seq_395,00
HGT_seq_396,00
HGT_seq_397,00
HGT_seq_398,00
HGT_seq_399,00
HGT_seq_400,00
HGT_seq_401,00
HGT_seq_402,00
HGT_seq_403,00
HGT_seq_404,00
HGT_seq_405,00
HGT_seq_406,00
HGT_seq_407,00
HGT_seq_408,00
HGT_seq_409,00
HGT_seq_410,00
HGT_seq_411,00
HGT_seq_412,00
HGT_seq_413,00
HGT_seq_414,00
HGT_seq_415,00
HGT_seq_416,00
HGT_seq_417,00
HGT_seq_418,00
HGT_seq_419,00
HGT_seq_420,00
HGT_seq_421,00
HGT_seq_422,00
HGT_seq_423,00
HGT_seq_424,00
HGT_seq_425,00
HGT_seq_426,00
HGT_seq_427,00
HGT_seq_428,00
HGT_seq_429,00
HGT_seq_430,00
HGT_seq_431,00
HGT_seq_432,00
HGT_seq_433,00
HGT_seq_434,00
HGT_seq_435,00
HGT_seq_436,00
HGT_seq_437,00
HGT_seq_438,00
HGT_seq_439,00
HGT_seq_440,00
HGT_seq_441,00
HGT_seq_442,00
HGT_seq_443,00
HGT_seq_444,00
HGT_seq_445,00
HGT_seq_446,00
HGT_seq_447,00
HGT_seq_448,00
HGT_seq_449,00
HGT_seq_450,00
HGT_seq_451,00
HGT_seq_452,00
HGT_seq_453,00
HGT_seq_454,00
HGT_seq_455,00
HGT_seq_456,00
HGT_seq_457,00
HGT_seq_458,00
HGT_seq_459,00
HGT_seq_460,00
HGT_seq_461,00
HGT_seq_462,00
HGT_seq_463,00
HGT_seq_464,00
HGT_seq_465,00
HGT_seq_466,00
HGT_seq_467,00
HGT_seq_468,00
HGT_seq_469,00
HGT_seq_470,00
HGT_seq_471,00
HGT_seq_472,00
HGT_seq_473,00
HGT_seq_474,00
