HGT_ID,LLD_9002000001395260
HGT_seq_245,0_0
HGT_seq_246,0_0
HGT_seq_247,0_0
HGT_seq_248,0_0
HGT_seq_249,0_0
HGT_seq_250,0_0
HGT_seq_251,3_3
HGT_seq_252,1_1
HGT_seq_253,0_0
HGT_seq_254,0_0
HGT_seq_255,0_0
HGT_seq_256,0_0
HGT_seq_257,0_0
HGT_seq_258,0_0
HGT_seq_259,0_0
HGT_seq_260,0_0
HGT_seq_261,0_0
HGT_seq_262,0_0
HGT_seq_263,0_0
HGT_seq_264,0_0
HGT_seq_265,0_0
HGT_seq_266,0_0
HGT_seq_267,0_0
HGT_seq_268,0_0
HGT_seq_269,0_0
HGT_seq_270,0_0
HGT_seq_271,4_4
HGT_seq_272,0_3
HGT_seq_273,0_0
HGT_seq_274,0_0
HGT_seq_275,0_0
HGT_seq_276,0_0
HGT_seq_277,0_0
HGT_seq_278,0_0
HGT_seq_279,6_6
HGT_seq_280,0_0
HGT_seq_281,0_0
HGT_seq_282,0_0
HGT_seq_283,0_0
HGT_seq_284,0_0
HGT_seq_285,0_0
HGT_seq_286,0_0
HGT_seq_287,1_1
HGT_seq_288,0_0
HGT_seq_289,0_0
HGT_seq_290,0_0
HGT_seq_291,0_0
HGT_seq_292,0_0
HGT_seq_293,0_0
HGT_seq_294,0_0
HGT_seq_295,0_0
HGT_seq_296,1_1
HGT_seq_297,0_0
HGT_seq_298,0_0
HGT_seq_299,0_0
HGT_seq_300,0_0
HGT_seq_301,0_0
HGT_seq_302,0_0
HGT_seq_303,0_0
HGT_seq_304,0_0
HGT_seq_305,0_0
HGT_seq_306,6_6
HGT_seq_307,0_0
HGT_seq_308,0_0
HGT_seq_309,0_0
HGT_seq_310,0_0
HGT_seq_311,0_0
HGT_seq_312,1_1
HGT_seq_313,0_0
HGT_seq_314,0_0
HGT_seq_315,0_0
HGT_seq_316,0_0
HGT_seq_317,0_0
HGT_seq_318,1_1
HGT_seq_319,0_0
HGT_seq_320,0_0
HGT_seq_321,0_0
HGT_seq_322,0_0
HGT_seq_323,0_0
HGT_seq_324,0_0
HGT_seq_325,0_0
HGT_seq_326,0_0
HGT_seq_327,0_0
HGT_seq_328,0_0
HGT_seq_329,0_0
HGT_seq_330,0_0
HGT_seq_331,0_0
HGT_seq_332,0_0
HGT_seq_333,0_0
HGT_seq_334,0_0
HGT_seq_335,0_0
HGT_seq_336,0_0
HGT_seq_337,0_0
HGT_seq_338,0_0
HGT_seq_339,0_0
HGT_seq_340,0_0
HGT_seq_341,0_0
HGT_seq_342,0_0
HGT_seq_343,0_0
HGT_seq_344,0_0
HGT_seq_345,6_6
HGT_seq_346,0_0
HGT_seq_347,0_0
HGT_seq_348,0_0
HGT_seq_349,0_0
HGT_seq_350,0_0
HGT_seq_351,0_0
HGT_seq_352,9_9
HGT_seq_353,6_6
HGT_seq_354,0_0
HGT_seq_355,0_0
HGT_seq_356,0_0
HGT_seq_357,0_0
HGT_seq_358,0_0
HGT_seq_359,0_0
HGT_seq_360,0_0
HGT_seq_361,0_0
HGT_seq_362,6_6
HGT_seq_363,0_0
HGT_seq_364,1_1
HGT_seq_365,0_0
HGT_seq_366,0_0
HGT_seq_367,0_0
HGT_seq_368,0_0
HGT_seq_369,0_0
HGT_seq_370,1_1
HGT_seq_371,0_0
HGT_seq_372,0_0
HGT_seq_373,0_0
HGT_seq_374,0_0
HGT_seq_375,0_0
HGT_seq_376,0_0
HGT_seq_377,0_0
HGT_seq_378,1_1
HGT_seq_379,0_0
HGT_seq_380,0_0
HGT_seq_381,0_0
HGT_seq_382,0_0
HGT_seq_383,0_0
HGT_seq_384,0_0
HGT_seq_385,2_2
HGT_seq_386,0_0
HGT_seq_387,0_0
HGT_seq_388,0_0
HGT_seq_389,1_1
HGT_seq_390,0_0
HGT_seq_391,0_0
HGT_seq_392,0_0
HGT_seq_393,0_0
HGT_seq_394,0_0
HGT_seq_395,0_0
HGT_seq_396,0_0
HGT_seq_397,0_0
HGT_seq_398,0_0
HGT_seq_399,0_0
HGT_seq_400,0_0
HGT_seq_401,0_0
HGT_seq_402,0_0
HGT_seq_403,1_1
HGT_seq_404,0_0
HGT_seq_405,0_0
HGT_seq_406,1_1
HGT_seq_407,0_0
HGT_seq_408,0_0
HGT_seq_409,0_0
